Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
Boeing 787-9,Business,Economy Class,Denver to London,December 2022,1.0,1.0,1.0,3.0,1.0,,1,no
A320,Solo Leisure,Business Class,London to Marrakech,June 2022,3.0,5.0,5.0,,4.0,,3,yes
A380,Solo Leisure,Economy Class,San Francisco to London,November 2022,2.0,1.0,2.0,2.0,3.0,1.0,2,no
A320,Solo Leisure,Business Class,London to Lisbon,November 2022,3.0,4.0,4.0,,3.0,,3,yes
Boeing 787 / A320,Solo Leisure,Economy Class,Montreal to Edinburgh via London Heathrow,January 2022,4.0,4.0,4.0,4.0,4.0,,4,yes
,Solo Leisure,Economy Class,Miami to Budapest via London,November 2022,2.0,3.0,3.0,4.0,1.0,,1,no
,Solo Leisure,Premium Economy,Amman Jordan to London UK (Heathrow),November 2022,3.0,2.0,1.0,,4.0,,2,no
,Solo Leisure,Economy Class,Dusseldorf to London via Los Angeles,August 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no
Boeing 777,Solo Leisure,Business Class,London to Cape Town,November 2022,4.0,2.0,1.0,4.0,1.0,,1,no
,Solo Leisure,Economy Class,Milan to Dallas via London ,November 2022,2.0,5.0,2.0,2.0,2.0,2.0,1,no
Boeing 787-8,Solo Leisure,Economy Class,Baltimore to London Heathrow,November 2022,1.0,3.0,3.0,1.0,2.0,,3,yes
,Couple Leisure,Business Class,Dubai to Belfast via London,October 2022,3.0,3.0,3.0,2.0,1.0,2.0,1,no
,Couple Leisure,Economy Class,Dallas to Bologna via London,July 2022,5.0,5.0,,,1.0,,1,no
,Solo Leisure,Economy Class,San Francisco to London,October 2022,,,,,1.0,,1,no
A320,Solo Leisure,Economy Class,London Heathrow to Gibraltar,October 2022,2.0,1.0,1.0,,3.0,,3,no
Boeing 777,Solo Leisure,Business Class,London Heathrow to Nairobi,October 2022,3.0,1.0,1.0,2.0,1.0,1.0,1,no
A350-1000,Solo Leisure,Business Class,London to Los Angeles,October 2022,5.0,4.0,5.0,5.0,3.0,5.0,5,yes
A320,Solo Leisure,Business Class,Copenhagen to Heathrow,October 2022,3.0,5.0,5.0,,4.0,5.0,5,yes
A320,Family Leisure,Economy Class,Larnaca to London,October 2022,1.0,2.0,1.0,1.0,2.0,,2,no
Boeing 787-10,Couple Leisure,Business Class,Atlanta to London,October 2022,5.0,4.0,4.0,5.0,5.0,5.0,4,yes
A380,Solo Leisure,Business Class,Madrid to San Francisco via London,September 2022,3.0,1.0,1.0,4.0,3.0,,1,no
A380,Solo Leisure,Economy Class,London to Washington,October 2022,3.0,5.0,5.0,3.0,2.0,,5,yes
A380,Couple Leisure,Economy Class,London to San Francisco,October 2022,1.0,1.0,3.0,3.0,1.0,5.0,1,no
,Solo Leisure,Economy Class,London to Delhi,October 2022,2.0,2.0,1.0,3.0,4.0,,1,no
Boeing 777-300,Couple Leisure,Economy Class,London to Los Angeles,October 2022,3.0,4.0,3.0,4.0,4.0,,4,yes
Boeing 777,Couple Leisure,Business Class,Miami to London Heathrow,October 2022,5.0,5.0,3.0,2.0,4.0,,3,yes
A380,Solo Leisure,Business Class,Dubai to London,October 2022,4.0,4.0,4.0,2.0,4.0,2.0,3,yes
A320neo,Couple Leisure,Economy Class,London to Cairo,October 2022,1.0,1.0,1.0,,4.0,1.0,1,no
Boeing 777,Solo Leisure,Business Class,Orlando to London Gatwick,October 2022,5.0,5.0,5.0,5.0,5.0,4.0,4,yes
A321neo,Business,Economy Class,London to Cairo,October 2022,2.0,4.0,1.0,,3.0,2.0,1,no
A380,Couple Leisure,Economy Class,Dallas to London,September 2022,2.0,4.0,2.0,4.0,4.0,,3,yes
A319,Couple Leisure,Business Class,Jersey to London Heathrow,September 2022,4.0,4.0,4.0,,3.0,,4,yes
A320,Couple Leisure,Business Class,London Heathrow to Jersey,September 2022,4.0,5.0,4.0,,3.0,,4,yes
A320-200,Solo Leisure,Business Class,Istanbul to London Heathrow,September 2022,1.0,3.0,2.0,1.0,3.0,,2,no
Boeing 777-200,Solo Leisure,Business Class,London Heathrow to New York JFK,September 2022,5.0,4.0,4.0,4.0,5.0,,5,yes
,Business,Economy Class,Gothenburg to Jersey via London,June 2022,2.0,2.0,,,1.0,,1,no
,Solo Leisure,Premium Economy,Heathrow to Mexico City,September 2022,5.0,5.0,5.0,5.0,5.0,5.0,5,yes
,Solo Leisure,Economy Class,London to Tampa,September 2022,5.0,5.0,5.0,5.0,5.0,5.0,5,yes
,Solo Leisure,Economy Class,Sydney to London via Singapore,September 2022,1.0,3.0,2.0,5.0,4.0,5.0,2,yes
A320,Couple Leisure,Economy Class,London to Lisbon,September 2022,4.0,5.0,1.0,,3.0,,3,yes
,Business,Business Class,London to Istanbul,September 2022,1.0,1.0,1.0,,1.0,,1,no
,Couple Leisure,Economy Class,London to Manchester,September 2022,4.0,1.0,2.0,1.0,1.0,1.0,1,no
Boeing 777,Family Leisure,Economy Class,London to Rome,August 2022,4.0,4.0,3.0,,1.0,,2,no
,Couple Leisure,Business Class,London Gatwick to Malaga,September 2022,3.0,5.0,5.0,1.0,4.0,1.0,3,yes
,Business,Economy Class,Heathrow to Tenerife,November 2021,,,,,,,1,no
,Couple Leisure,Economy Class,Manchester to Seattle via London,August 2022,3.0,2.0,1.0,2.0,4.0,,3,no
,Couple Leisure,Premium Economy,San Francisco to London,April 2022,2.0,1.0,2.0,3.0,1.0,,1,no
,Couple Leisure,Economy Class,Berlin to London City,August 2022,3.0,5.0,4.0,,2.0,,4,yes
Boeing 787,Couple Leisure,Economy Class,Tel Aviv to London,August 2022,5.0,5.0,5.0,5.0,3.0,,4,yes
,Solo Leisure,Business Class,London to Manila via Singapore,June 2022,1.0,1.0,1.0,1.0,1.0,,1,no
,Solo Leisure,Economy Class,London to Barcelona,June 2022,1.0,2.0,1.0,,1.0,,1,no
,Business,Business Class,Los Angeles to Thessaloniki via London,June 2022,2.0,2.0,1.0,,1.0,,1,no
,Couple Leisure,Economy Class,Boston to Dublin via London,August 2022,5.0,5.0,5.0,5.0,5.0,1.0,5,yes
,Couple Leisure,Economy Class,London to New York,July 2022,5.0,5.0,5.0,5.0,5.0,5.0,3,yes
Boeing 777,Family Leisure,Economy Class,Cape Town to London Heathrow,August 2022,2.0,1.0,1.0,3.0,4.0,,3,no
,Couple Leisure,Premium Economy,Dallas Ft Worth to London,May 2022,3.0,5.0,5.0,,4.0,,4,yes
,Family Leisure,Economy Class,London to Amsterdam,July 2022,1.0,1.0,1.0,,1.0,,1,no
A320,Solo Leisure,Business Class,London to Marrakesh,June 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no
,Solo Leisure,Economy Class,Accra to London,November 2021,,,,,1.0,,1,no
,Solo Leisure,Economy Class,Nairobi to New York via London,July 2022,3.0,5.0,3.0,,3.0,,1,no
A380,Family Leisure,Business Class,San Francisco to London,July 2022,4.0,5.0,4.0,4.0,4.0,5.0,4,yes
A320,Solo Leisure,Economy Class,London to Amman,May 2022,1.0,1.0,,,1.0,,1,no
,Family Leisure,Economy Class,Edinburgh to Washington via London,July 2022,2.0,2.0,2.0,,1.0,,1,no
,Couple Leisure,Economy Class,Vancouver to Amsterdam via London,June 2022,5.0,5.0,5.0,5.0,1.0,,1,no
A350-1000,Couple Leisure,Economy Class,Sao Paulo to Heathrow ,July 2022,1.0,2.0,3.0,1.0,3.0,,3,yes
A321,Couple Leisure,Economy Class,London to Reykjavik,May 2022,3.0,4.0,1.0,,1.0,,4,yes
A321,Business,Economy Class,Belfast to London,July 2022,4.0,5.0,2.0,,2.0,,4,yes
,,Business Class,London to Malaga,July 2022,,,,,,,1,no
,Couple Leisure,Business Class,London to Toronto,July 2022,5.0,5.0,5.0,5.0,5.0,,5,yes
A350,Family Leisure,Business Class,London to Los Angeles,July 2022,4.0,4.0,4.0,5.0,5.0,5.0,4,yes
,Family Leisure,Economy Class,Washington to London,July 2022,1.0,1.0,,,1.0,,1,no
,Solo Leisure,Premium Economy,Nairobi to New York via London,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,1,no
Embraer 190,Couple Leisure,Business Class,Dublin to London City,July 2022,4.0,4.0,3.0,,1.0,,1,no
"A320, Boeing 787",Solo Leisure,Premium Economy,Venice to Baltimore via London Heathrow,July 2022,3.0,3.0,3.0,2.0,1.0,1.0,2,no
,Couple Leisure,Premium Economy,London to Nairobi,June 2022,,,,,,,1,no
A350,Couple Leisure,Economy Class,London Heathrow to Johannesburg,June 2022,1.0,3.0,3.0,2.0,2.0,,4,no
,Family Leisure,Economy Class,Belfast to London,June 2022,,,,,1.0,,1,no
,Family Leisure,Business Class,,June 2022,2.0,2.0,2.0,2.0,1.0,,1,no
,Couple Leisure,Economy Class,London to Paris,July 2021,1.0,1.0,1.0,1.0,1.0,1.0,1,no
,Business,Business Class,Miami to Paris,June 2022,3.0,4.0,4.0,2.0,3.0,1.0,1,no
,Family Leisure,Economy Class,Edmonton to Cairo,June 2022,2.0,2.0,1.0,1.0,1.0,1.0,2,no
,Couple Leisure,Premium Economy,Amsterdam to Montreal via London,June 2022,2.0,2.0,2.0,2.0,2.0,2.0,2,no
,Solo Leisure,Economy Class,Hong Kong to London,April 2022,,,,,,,1,no
,Family Leisure,Economy Class,Belfast to London,June 2022,3.0,1.0,2.0,,1.0,,1,no
A350,Business,Economy Class,London to Johannesburg,June 2022,1.0,4.0,1.0,2.0,3.0,1.0,2,no
A320,Couple Leisure,Economy Class,Paris CDG to London Heathrow,June 2022,1.0,4.0,1.0,1.0,2.0,1.0,1,no
,Couple Leisure,Business Class,Portland to London,June 2022,2.0,4.0,2.0,2.0,4.0,,2,no
A320,Business,Business Class,London to Malaga,June 2022,3.0,2.0,2.0,,2.0,3.0,3,no
,Couple Leisure,Economy Class,Boston to Edinburgh via Heathrow,June 2022,1.0,4.0,4.0,3.0,1.0,1.0,1,no
