Verified,Reviews,Recommended
yes,"     i was flying to warsaw for one day of meetings and would be flying back out to miami the next day. initially my flight was delayed in denver by 3 hours. as such i knew i would miss my connection in warsaw. the denver to heathrow flight was terrible. the plane was dirty, i was in economy, i usually fly business or premium economy but on this flight there was no availability. the plane was only about 2/3 full and the service was not good. my food was inedible and the seats very cramped although the middle seat was open so that made it tolerable. when i arrived in heathrow it was a complete circus. passengers everywhere trying to rebook missed connections. not only my flight but multiple other flights had missed connections. after waiting in line for an hour i was finally rebooked on another ba flight to warsaw. this plane was the smallest 3x3 plane i have seen. packed in like sardines. my bag never showed up so i had to cancel my meeting and now have no bag to fly back to miami. ba has shown no desire to help other than to give me standard answers and that hopefully my bag will show up in miami at some point and i can retrieve it from there. i mean the bag is sitting in heathrow somewhere with 6 different fight options to get it to warsaw yet ba in unwilling to do anything to expedite getting my bag to warsaw before i leave for miami the next day. ",no
yes,"     booked a ba holiday to marrakech, after posting a negative review regarding my double tier points credit, i can now confirm that the points have been credited. it took a while but ba did eventually make good on their promise, thank you. based on things now being resolved i have travelled on ba since and i am booked to travel to south africa in first class on 2nd january, looking forward to the new ba concorde lounge. keep it up ba, loyalty is indeed a 2way street.",yes
yes,"    extremely sub-par service. highlights: no online meal selection. staff pretty much dropped off whatever meal they had and were very rude if a passenger wanted it changed. last meal was delayed to the last 40 minutes of flight. plates were literally grabbed away. i had to hand over my unfinished plate that the staff again dropped on me. no apology. no offer of a napkin. i had to scrounge for a piece of paper to clean my jacket. none of the passengers were told to straighten up their seats before meal. because the seat before me was so tilted, i could barely keep the plate on the tray without things slipping off. staff walked down with some water and biscuits. this got exhausted just before she got to me. she just looked at me and walked away. nothing further was offered.",no
yes,"     i virtually gave up on british airways about three years ago, writing off my avios and opting for other airlines. but my return flights from heathrow to lisbon this week were very good. the aircraft were pretty much full, but the service was excellent and the food surprisingly good. a particular shout-out to a flight attendant called jo, but all the teams there and back were enthusiastic and attentive. i'm going to have to start spending those avios.",yes
yes,"     i was pleasantly surprised that the airline could maintain a steady schedule with little delay considering the time of the year and the weather. the flight from montreal was my return flight to scotland, but i originally booked to fly to and from toronto, but the airline helped me cancel and i rebooked for a cheaper flight. the inflight service was pretty decent andthey do offer a blanket and pillow. as well they walk through the cabin offering drinks and handing out a small snack prior to the leading meal service. while the food was typical air plane food. i thoroughly enjoyed my flight and had no issues at all with my flights.",yes
yes,"     british airways is late, their website is atrocious, and they wouldn't let me check-in until 24 hours before the flight. i have been trying for 6 hours to check in through their website, and/or find a real person to speak with. customer service had such a thick accent i didn't think they were speaking english. ",no
yes,    flew from amman to london on nov. 14 2022. not sure what type of aircraft it was. my ticket was economy plus. the flight is 5h35m. we received exactly 250ml of water and about 10 potato chips. the seats did not recline and there was no entertainment system. any other food or drink had to be purchased. so we couldn't even get a warm cup of coffee or teas. it is the third time i have flown with ba recently and was unhappy each time but did not write a review. will honestly never fly them again if i can help it.,no
yes,"    this is the worst experience i have ever had with any airline. i flew with british airline on august 21st 2022. i had one checked bag that was lost at heathrow airport. i am aware that at that time there was a system error with the baggage belt and many travelers were affected. i filed a report for my missing bag on the same day i arrived at lax airport, and that was on august 21st. i waited patiently for three weeks (which is the time frame to either find the bag or be eligible for a compensation). when i did not receive any update on my lost bag, i filed a claim for compensation, and that was on september 11th. since then, i have been waiting for a response from the customer relation with no good signs of resolving the issue. i emailed them and tried to update the claim but still no response until today. i contacted the baggage team and they were not helpful and did not ease my prolonged waiting. the only way to contact customer relations is via the website and they're not even getting back to me. every time i talk to a customer service agent, they tell me to wait some more. i have been waiting for almost three months now and my issue is not resolved yet. this whole experience was a hassle. very unprofessional for a renowned airline like ba.",no
yes,"     flying lhr t5 to cpt november 2022:  ba app and website not working properly - would not load my ticket. lhr t5 smooth and calm. checking process quick. - but boarding card would not scan at security, they gave me one for someone else to a different destination.  ran back to checkin to get correct one. bags also tagged incorrectly and had disappeared.  someone ran off to find my bags in the depths of t5 and retag them (amazingly they did show up in cape town).  told only main lounge was open not b and c pier lounges. turns out this was false information ... b pier lounge was open. but i was in main lounge which was overcrowded and worn out. -arrived late to the gate (train not working). there was a biz class lane (quick) but then a giant queue to get on the plane as they only had one airbridge, not two. seat comfy and cabin clean but the sinks were taped up as the waste was not working. i was offered hand sanitiser instead but this is disgusting (imagine going to the bathroom and not being able to wash your hands as there is no sink). unbelievable that ba dispatches planes in this condition. food average. wine served way too late (choice of wine with cold food, or eat food first and matching wines come a quarter of an hour later). overall experience 2/10. flew air france (fortalaza to cdg to lhr) two weeks earlier which was way better. how embarrassing for ba.",no
no,"  worst experience ever. outbound flight was cancelled and i was not notified. i was rebooked on a very uncomfortable trip. inbound flight delayed 1 hour, also not notified. on top of it, they boarded my hand luggage, which was the only bag i had. extra wait in milan then. food is horrible.",no
yes,"     check in was a shambles at bwi, just 3 counters open for a very full flight. the bag drop queue was even longer than the regular check-in queue! boarding was done by zones so that was carried out reasonably well. once on board, the fas were fine, not as engaging on my outbound flight to iad. the aircraft was cramped and the seats in economy were horrible. i was seated in an aisle seat (row f) where there is an entertainment box taking up a third of your legroom. overall, very cramped seat, poor legroom and awful ife screens. the meal was mediocre and there was no bar service before the meal this time. on lading, we were served a hot sandwich which had oozing cheese all over the wrapper so it was not pleasant to handle but tasted very good! the plane landed at a remote stand which meant that we had to be bussed to t5 and since it was raining, it was not a nice experience. overall, i rate this just as a mediocre journey.",yes
yes,    beyond disgusted with the fact that my baggage has yet to be delivered to me after 5 weeks of emails and calls to ba. two pieces reported 29th september. ba responses are generic non specific and all attempts to speak to a customer service worker are obstructed. all this from an airline touting its values and claiming yo be one of the best in the world. disgraceful does not fully describe their customer service.,no
yes,"    on july 19th 2022 i had submitted a complaint form with regards to the fact that ba had misplaced our luggage during our wedding trip to italy and we've lost 2 days and incurred additional expenses in retrieving them, for which i had provided all copy of receipts for. i requested for my expenses to be reimbursed, they agreed, i sent all requested information and was told in 2 weeks i will be receiving it. it's 4 months later and british airways has not processed my reimbursements and stopped answering my follow-ups on the matter.",no
yes,"     i booked the flight on oct 8, but have to cancel the flight on the same day after learning that i can't get my entry visa in time for the flight. and i did receive a confirmation email says my flight was canceled. but in the cancellation email, the booking reference number is a different one. so i requested cancellation, but ba canceled another person's flight and sent the confirmation to my email? i assumed that my flight was canceled, but after more than 3 weeks, i still have not received any refund, so i reached out, and it turned out my flight is still on?! and it is getting even more ridiculous when you try to reach out to ba. i tried multiple different ways, phone calls, and emails, but none was able to investigate what actually happened nor has the authority help cancel my flight without paying penalty. based on my experience, no ones reads your email carefully, no matter how much context you put in. given all i have experienced, i have zero faith in british airways.",no
yes,     london to gibraltar on 25th october 2022. i booked my flight several months ahead of travel and was rather disappointed by the experience.  ba attempt to nickle and dime the customers with outrageous seat selection prices. offering of a very small bottle of water and a nutribar as a breakfast and one gains the impression of where ba aim to be positioned at of late. the a320 has was no inflight entertainment or a route map. the staff disappeared for most of the flight. the flight was punctual but i felt cheated and under whelmed by the experience. ,no
no,"   i’ve generally been a loyal gold status flyer with ba if they fly the route i’m after but my recent flight to nairobi was about as abysmal as you can get. we should have departed at 10:20 but after continuous delays finally left 4.5 hours late, not ideal when you’ve then got an 8hr + flight. staff informed us virtually as we took off that the meal and drinks service would be started and completed asap as they needed to get rest because of hours we had been delayed. they couldn’t get it out and away quickly enough. that was then basically the last you saw of them until they came around an hour or so before landing. i sincerely hope they enjoyed their rest because when you pay full fare for business class service you actually expect a service. they were all extremely miserable and clearly didn’t want to be on board. we’re still waiting for you to pay our compensation that has been awarded to us by the official ombudsman in july for the cancellation of our flight to miami in march. this was cancelled at 3am for the 2:30 pm flight !",no
yes,"     a great flight. the suites on this aircraft really provide maximum comfort. british has returned to full service so meals were coursed, menus and hot towels provided…etc food was quite good with choices provided for both meals. service was ok, i prefer to have the same person serving me rather than a hodge pudge but that’s my preference. entertainment was good as was connectivity. no real complaints except a minor one. the tray table seemed far from me while eating in its closest position. i actually felt like i was in a true business class, not by qatar’s standards, but that’s another story.",yes
yes,"     i am happy to say that this flight was quite good. except for the second rate euro business seating, everything was very well done. a friendly, informative cabin crew served a good hot breakfast while being very communicative to folks nervous about heathrow transit. well done. unfortunately, a bus gate was used upon arrival.",yes
yes,"     just a few years ago flying on ba was enjoyable, but times have changed. these days about five hours on board the plane is no fun at all. the terminal 5 experience still feels classy, and on the way out it felt well staffed and efficient. on board though, it’s just become an experience to be endured. ba’s mean decision to split seats into nicer for the first half of the plane, and nastier for the rest underlines this. there is no entertainment, no magazine. refreshment purchases are brought to the seat after ordering from an app. there is no attempt to provide fresh or hot food on the day, despite the competition being able to do this. is it too much to ask for, when trapped on board for five hours? you get a free tiny bottle of water and a small cereal bar. on the outbound flight the crew collected rubbish just once before landing, but helpfully tied a bag around a toilet door down the back in case anyone wanted to fight their way past and clear things up themselves. recline buttons have been deleted on the seats and the seat pitch feels squeezed. on the return flight, for one reason or another due to ba’s delays from the previous day, we were just under two hours late getting off the plane late in the evening and some passengers couldn’t travel at all because there were not enough crew. the cabin crew were nonetheless distinctly more professional on this flight. altogether, i would say good things if there were any - but it’s hard to think of anything i could recommend ba for; and that is a pity, because it used to be a professional company to deal with and a pleasure worth looking forward to when making european journeys.",no
yes,"     a very positive experience with ba. seats were new style club seats and very comfortable for sleep. food was fine but not outstanding. wi-fi good, and video screen large and bright. baggage came out very quickly at heathrow, had the same experience on the return flight to atlanta. all in all, would fly ba again, but would probably want to make sure it is new seats.",yes
yes,"    baby across the aisle cried nonstop and crew yakked in the galley so on this long flight there was no possibility for any sleep or even rest. mentioning to a crew member that their colleagues were talking loudly made no difference at all. my second meal was something inedible, no way to get a simple bag of crisps or nuts, instead an assortment of dried something. baggage took 3/4 hour to be delivered and had no priority for club or even first passengers; we were all kept waiting after many economy bags had been delivered. a380 is a great aircraft but the ba seating is still the very tired old yin/yang configuration with some people stuck in the middle of 3 seats (probably not what anyone is expecting in business class these days)",no
